,Amoxicillin_DoseF,Artesunate_DoseD,Ascorbic.Acid_DoseF,Bosentan_DoseB,Busulfan_DoseD,Carbamazepine_DoseC,Cetirizine_DoseD,Cyclopamine_DoseA,Cyproheptadine_DoseD,Dabrafenib_DoseD,DAPT_DoseE,Dasatinib_DoseB,Dexamethasone_DoseA,Dorsomorphin_DoseB,Doxycycline_DoseD,Hydroxyurea_DoseA,Ibuprofen_DoseE,Imatinib_DoseE,Isotretinoin_DoseD,IWP.2_DoseD,Metformin_DoseF,Methotrexate_DoseE,Penicillin.G_DoseD,Progesteron_DoseB,Retinoic.Acid_DoseA,SB431542_DoseA,Valproic.Acid_DoseA,SD_5.Fu_5,SD_Acitretin_3,SD_Lazabemide_2,SD_Misoprostol_6,SD_Warfarin_6,Thalidomide_DoseF,NAME
161,-1.94019953178644,1.7835180459581899,-1.92686400283347,2.3112172460650697,0.7095527882153679,-4.24653621219208,-1.13000608344743,-1.8639686656326397,-4.57574704504813,-1.5555097056054898,0.37493895497926205,-2.13799267106382,0.0864562428173183,-0.6794825220372149,-0.715390701502624,2.12970495052928,-0.0749393829614951,-3.0471189210882597,-8.57403445458866,-3.4163378317822097,0.34902875867786,-0.154882609312434,-1.76055019957454,0.359176311740125,-4.723829484294559,3.6934923093891503,0.740853361594588,-2.9278928256927,-2.22406751686339,-1.8319718586007898,-0.64664553446905,-1.9421717922214299,2.31981238359189,EBF1
396,-1.3295257200981798,0.14850266269809698,0.229975680347028,0.22457413597708398,-0.196803180543972,0.614881907346247,0.554857056832479,0.8762675070692401,0.13389525439302302,2.7552066829153996,-0.0788475597458374,-1.21952127401878,0.45285789932514703,0.755335889322496,0.3536806747638971,-0.47131640430579297,1.0697236037128999,1.5773932999376599,1.6831069985738,1.9651757769893798,1.9288554478331101,1.91973677825935,2.67596972620152,-0.0599406622620619,4.03887168944556,0.0502614268658202,-6.65731452681085,1.05858289773926,3.2061536570052795,1.2291686182521298,0.5829124044447521,1.49022111302056,3.25736107231191,FOSB
832,-1.25146422651211,0.671432124680282,0.40252462004700296,1.7860986836411001,0.508727872673435,0.508478046971648,0.862615675645618,-1.7099041810897602,-0.257306495801776,-0.246965089371797,3.6061284504972004,0.675912455000093,-1.30939959199617,5.962172181322299,0.249011554925485,1.5931961013936697,1.6588511423636099,-0.16739053727702402,-26.158721280911198,-0.9234509537662171,0.0244616872457835,0.426384850705835,0.525062915171691,-0.28723216597304496,-4.96384102979397,-2.00448784855616,-14.388965529872198,0.501195487574804,-3.06574983235821,0.28685402528970694,-0.808592362137146,2.8458176085063798,-4.45790819821042,VCAM1
939,1.83082524256826,10.2767605769963,0.11037754029496198,3.8188350465205403,4.24695287181651,-1.6723199102737298,0.271695944495283,0.530398063801139,-1.30560580615316,-0.578970875310508,7.50340457866461,-3.9819251870892103,0.0244222192026769,-3.24892192936562,-0.0828704251465129,7.90656389808334,1.52643729290148,-0.41957997948619297,34.0777657056407,-2.70579859037094,0.4914961870063811,0.589504490150361,1.4301294382952,1.1070310285508,8.01222837572022,-3.8364855939120197,0.38726499445214396,1.8714064386566398,6.92622884662191,0.5535097335254929,-0.036198569424967,0.23442840101849602,14.5320370851093,CDX2
983,-0.09897955018313699,-2.88000358057694,-0.223862635327251,-0.9748796230777439,-0.369013135814883,-0.133372101294782,0.516389939272373,2.16937526671969,-0.185421488272903,4.48824244419077,-1.04854418020454,-2.85129108835347,1.74414686191474,2.31726197676467,0.547971947058199,-2.78425095536247,-0.17704993377637804,2.3931488265433596,-12.698552889142801,5.18148803373681,1.32694372857374,2.6294221913373197,0.8327059244085899,-0.824821058801928,-5.5861708679684,-3.81357911420313,14.961537000100801,1.9042680282256699,-5.12186226502046,1.74741774381473,1.61669655346437,1.84250946038279,-9.97758883582186,PAX5
999,-2.0824474265074198,-2.64244070274636,-2.54308723760027,-1.3875946912591899,-1.14463400069304,-0.0495310417823557,-0.7097365833259242,-1.9504166594114598,0.277817234124973,-1.12696966276046,0.0028893699245518397,-1.17127697318819,-0.6961695725142559,-2.3843251907387004,-0.6058331203629139,1.3850971624600903,0.5140068320157121,0.847694002214016,-0.630771339642691,-2.1352121532200803,0.0892599692280711,0.823198379301336,0.370735508750775,0.7309192076108141,-3.0508690971412302,-2.9056351042400097,1.3840863293523502,-2.39392806612033,-3.26343979505718,-2.10176354889319,-0.361439637255896,-3.1100584507015596,-1.92862585738032,ATP2A2
1002,0.7662084463601221,-0.494581325264156,-0.9572037677738822,-0.805521801454963,-0.898808748097568,-1.6477347413002899,-0.734400761548945,0.915269182086946,-1.16140211280041,-1.5567862125875402,-2.0171088175013,-1.70351670662126,-1.20283102429518,-1.45913524881802,-0.608120517027448,-0.353507781868305,-1.97631962248604,0.15958326820579502,17.870612897231,-1.33089523890524,0.0947181027242323,-1.13068360906188,-2.40562309223415,-2.0386349441344898,-3.02465252617257,-1.42134677731022,7.20978995878482,-0.9975094364179922,4.49211476589951,0.224373273051165,-1.50550609376502,0.262484270413733,8.563573180632401,WNT11
1008,-0.0533085573535675,-0.131140954164643,1.5897927176611901,-0.432137066359166,0.7528186199081829,2.76651782072122,1.9760453005505498,-0.243814338639386,3.4279982919058996,3.06336559129501,1.08181053044932,-1.9870793738902102,0.24339853411189602,0.33915896323294,1.5849902976369399,1.9137525634407901,1.44885650368269,2.03777156488704,-7.59661652994285,0.0106667265895338,1.5737246360064099,1.89613727895156,1.86259034880097,2.80719449663175,-1.33732371833909,-1.23384319175558,12.5052609911876,-1.19828228725624,-2.9902389511432896,-0.00045395917208636104,0.787787225052373,-0.328589987750151,-1.61241465770222,ENPP1
1060,-0.0761573866605045,-1.00889913730873,-0.16200614277392097,-1.9756614472265903,-1.37145560372854,-3.5595952423145896,-0.367501457391661,1.04112457238125,-3.6231597243067597,3.8475500729559498,-2.83110871257168,4.94115809548117,5.31434964602904,0.14278160726209302,-0.40994093987038,-2.21246945772193,-0.33919221111387393,0.172843477110168,-11.22844005187,-0.9161572488162979,-0.9148613946020129,0.837142578025486,-0.9202169450063391,-0.406448848456298,-2.86086849833354,1.5200625266002898,-5.46551872858508,1.23955448290385,-6.299020624770829,0.0637853309119726,1.6042067020614197,-0.6250139043912221,-4.60059420699952,LMO2
1105,-2.07097629965569,-1.9960412666020102,-2.37692898708322,-1.51939037498808,-1.9520815521728998,0.045785057199811,-1.1159158871511499,-2.22252592495319,-0.25511001731982197,-1.94289756570667,-2.4883086092704,1.0239169383249,0.286886049733932,-3.2546488959114104,-0.19172037699522498,-1.3432993306510002,1.3832605290685098,0.136906158021229,1.8889756785026899,-2.7673429024962997,0.260347542351237,-0.166152323332943,-1.12890956113082,-0.867683061481049,-1.46526036868771,-2.21326570119275,-4.20060594371116,-1.88062474956011,-0.201367946513918,-1.9712425058295802,-0.0140016564614292,-2.92309457050534,-2.31600737924712,LEPR
